,User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
0,11351073,2021-04-23 08:05:00,Spot,Deposit,EUR,49.1,
1,11351073,2021-05-18 10:27:11,Spot,Large OTC trading,EUR,-49.1,
2,11351073,2021-05-18 10:27:11,Spot,Large OTC trading,BTC,0.00132121,
3,11351073,2021-05-22 09:01:55,Spot,Deposit,EUR,58.92,
4,11351073,2021-05-22 09:05:23,Spot,Large OTC trading,BTC,0.00192851,
5,11351073,2021-05-22 09:05:23,Spot,Large OTC trading,EUR,-58.92,
6,11351073,2021-06-10 17:02:36,Spot,Deposit,ETH,0.02234117,
763,11351073,2022-06-01 00:00:00,USDT-Futures,Funding Fee,USDT,-0.07313497,
764,11351073,2022-06-01 08:00:00,USDT-Futures,Funding Fee,USDT,-0.07239957,
765,11351073,2022-06-01 15:59:52,USDT-Futures,Realize profit and loss,USDT,-26.1027,
766,11351073,2022-06-01 15:59:52,USDT-Futures,Insurance fund compensation,USDT,-2.54108384,穿仓保证金补偿
767,11351073,2022-06-01 17:36:52,Spot,Sell,LUNA,-1.97,
768,11351073,2022-06-01 17:36:52,Spot,Sell,LUNA,-6.42,
769,11351073,2022-06-01 17:36:52,Spot,Fee,BNB,-9.872e-05,
770,11351073,2022-06-01 17:36:52,Spot,Fee,BNB,-3.033e-05,
771,11351073,2022-06-01 17:36:52,Spot,Sell,USDT,12.205726,
772,11351073,2022-06-01 17:36:52,Spot,Sell,USDT,39.715404,
773,11351073,2022-06-01 22:24:44,Spot,Buy,USDT,-51.8648025,
774,11351073,2022-06-01 22:24:44,Spot,Fee,BNB,-0.00012993,
775,11351073,2022-06-01 22:24:44,Spot,Buy,BTC,0.00175,
0,11351073,2021-07-20 09:47:24,Spot,Transaction Related,EUR,-58.86,
1,11351073,2021-07-20 09:47:24,Spot,Transaction Related,BTC,0.002309,
2,11351073,2021-07-20 09:47:24,Spot,Deposit,EUR,58.86,
3,11351073,2021-07-20 09:59:51,Spot,Transaction Related,BTC,0.000775,
4,11351073,2021-07-20 09:59:51,Spot,Transaction Related,EUR,-19.62,
5,11351073,2021-07-20 09:59:51,Spot,Deposit,EUR,19.62,
6,11351073,2021-07-22 12:19:41,Spot,Transaction Related,EUR,-981.0,
7,11351073,2021-07-22 12:19:41,Spot,Transaction Related,ETH,0.57907,
8,11351073,2021-07-22 12:19:41,Spot,Deposit,EUR,981.0,
9,11351073,2021-07-22 12:22:16,Spot,Deposit,EUR,294.3,
10,11351073,2021-07-22 12:22:16,Spot,Transaction Related,EUR,-294.3,
